train, test
0.526483, 0.550084
0.526385, 0.550016
0.526287, 0.549949
0.52619, 0.549883
0.526094, 0.549818
0.525999, 0.549753
0.525905, 0.549678
0.525812, 0.549603
0.525719, 0.549528
0.525627, 0.549428
0.525536, 0.549322
0.525445, 0.549219
0.525356, 0.549119
0.525267, 0.54902
0.525179, 0.548926
0.525092, 0.548842
0.525005, 0.548759
0.52492, 0.548677
0.524835, 0.548595
0.524751, 0.548515
0.524668, 0.548435
0.524585, 0.548356
0.524504, 0.548279
0.524423, 0.548202
0.524343, 0.548126
0.524264, 0.548051
0.524186, 0.547977
0.524108, 0.547905
0.524031, 0.547833
0.523956, 0.547762
0.523881, 0.547693
0.523807, 0.547625
0.523734, 0.547557
0.523661, 0.547491
0.52359, 0.547427
0.523519, 0.547363
0.52345, 0.5473
0.523381, 0.547239
0.523313, 0.547179
0.523246, 0.54712
0.52318, 0.547063
0.523115, 0.547007
0.52305, 0.546952
0.522987, 0.546898
0.522924, 0.546845
0.522863, 0.546794
0.522802, 0.546744
0.522742, 0.546695
0.522683, 0.546648
0.522625, 0.546602
0.522568, 0.546557
0.522511, 0.546513
0.522456, 0.546471
0.522401, 0.54643
0.522347, 0.54639
0.522294, 0.546351
0.522242, 0.546314
0.522191, 0.546277
0.522141, 0.546242
0.522091, 0.546208
0.522042, 0.546176
0.521994, 0.546144
0.521947, 0.546114
0.521901, 0.546085
0.521855, 0.546057
0.52181, 0.54603
0.521766, 0.546004
0.521723, 0.545979
0.52168, 0.545955
0.521638, 0.545932
0.521597, 0.545911
0.521557, 0.54589
0.521517, 0.54587
0.521478, 0.545852
0.52144, 0.545834
0.521402, 0.545817
0.521365, 0.545801
0.521328, 0.545786
0.521293, 0.545772
0.521257, 0.545759
0.521223, 0.545746
0.521189, 0.545735
0.521155, 0.545724
0.521123, 0.545714
0.52109, 0.545705
0.521059, 0.545697
0.521027, 0.545689
0.520997, 0.545682
0.520967, 0.545676
0.520937, 0.54567
0.520908, 0.545665
0.520879, 0.545661
0.520851, 0.545658
0.520823, 0.545655
0.520796, 0.545652
0.520769, 0.545651
0.520743, 0.545649
0.520717, 0.545649
0.520691, 0.545649
0.520666, 0.545651
0.520641, 0.545655
0.520617, 0.54566
0.520593, 0.545665
0.520569, 0.545671
0.520546, 0.545677
0.520523, 0.545684
0.5205, 0.545691
0.520477, 0.545698
0.520455, 0.545706
0.520434, 0.545714
0.520412, 0.545723
0.520391, 0.545732
0.52037, 0.545741
0.520349, 0.545753
0.520329, 0.545765
0.520308, 0.545777
0.520289, 0.54579
0.520269, 0.545803
0.520249, 0.545816
0.52023, 0.545829
0.520211, 0.545843
0.520193, 0.545858
0.520173, 0.545872
0.520153, 0.545887
0.520133, 0.545902
0.520112, 0.545917
0.520089, 0.545933
0.520066, 0.545949
0.520043, 0.545965
0.520019, 0.545982
0.519994, 0.545999
0.519969, 0.546015
0.519945, 0.546032
0.519921, 0.54605
0.519896, 0.546067
0.519869, 0.546085
0.519841, 0.546099
0.519813, 0.546112
0.519784, 0.546125
0.519756, 0.546139
0.519725, 0.546152
0.519695, 0.546165
0.519663, 0.546179
0.519632, 0.546193
0.519601, 0.546206
0.51957, 0.54622
0.519538, 0.546234
0.519507, 0.546244
0.519475, 0.54625
0.519442, 0.546257
0.519409, 0.546263
0.519376, 0.54627
0.519343, 0.546276
0.51931, 0.546283
0.519277, 0.546289
0.519241, 0.546296
0.519206, 0.546304
0.519169, 0.546313
0.519134, 0.546322
0.519097, 0.54633
0.51906, 0.546334
0.519022, 0.546338
0.518983, 0.546343
0.518945, 0.546344
0.518907, 0.546341
0.518869, 0.546338
0.518833, 0.546335
0.518802, 0.546333
0.518771, 0.54633
0.518737, 0.546327
0.518705, 0.546324
0.518674, 0.546321
0.518641, 0.546318
0.518608, 0.546315
0.518579, 0.546311
0.518549, 0.546305
0.518519, 0.546297
0.518492, 0.546285
0.518466, 0.546269
0.51844, 0.546252
0.518415, 0.546234
0.518389, 0.546216
0.518361, 0.546197
0.518331, 0.546179
0.5183, 0.54616
0.518267, 0.546145
0.518235, 0.546127
0.518205, 0.546107
0.518174, 0.546081
0.518142, 0.546064
0.51811, 0.546051
0.518076, 0.546037
0.51804, 0.546023
0.518003, 0.546012
0.517964, 0.546012
0.517924, 0.546014
0.517883, 0.546017
0.517841, 0.546018
0.517802, 0.546015
0.517766, 0.546008
0.517729, 0.546
0.517689, 0.545991
0.517648, 0.545981
0.517607, 0.545971
0.517566, 0.54596
0.517525, 0.545949
0.517488, 0.545948
0.517452, 0.54595
0.517413, 0.54595
0.517373, 0.545951
0.517331, 0.54595
0.517287, 0.54595
0.517244, 0.545948
0.517202, 0.545947
0.517159, 0.545944
0.517116, 0.545944
0.517074, 0.545943
0.517022, 0.545941
0.516965, 0.545947
0.516908, 0.545959
0.51685, 0.545971
0.516792, 0.545982
0.516727, 0.545993
0.51666, 0.546003
0.516595, 0.546014
0.516528, 0.546023
0.516463, 0.546033
0.516396, 0.546039
0.516327, 0.546042
0.516251, 0.546047
0.516173, 0.546066
0.516099, 0.546088
0.516021, 0.546111
0.515931, 0.546134
0.515834, 0.546159
0.515739, 0.546185
0.515642, 0.54621
0.515544, 0.546236
0.515441, 0.546262
0.515335, 0.546291
0.51523, 0.54632
0.515125, 0.546349
0.515021, 0.546378
0.514916, 0.546406
0.514815, 0.546434
0.514708, 0.546462
0.514594, 0.54649
0.514476, 0.546511
0.514362, 0.546531
0.51425, 0.546553
0.514139, 0.546566
0.514028, 0.546578
0.513918, 0.546584
0.513811, 0.546591
0.513705, 0.546596
0.513599, 0.546605
0.513494, 0.546612
0.513388, 0.546618
0.513278, 0.546616
0.513167, 0.546608
0.513056, 0.546595
0.512947, 0.546558
0.512843, 0.546516
0.512738, 0.54647
0.512636, 0.546423
0.512533, 0.546374
0.512434, 0.546317
0.512333, 0.546258
0.512238, 0.546198
0.512145, 0.546138
0.512052, 0.546081
0.511961, 0.546027
0.51187, 0.545976
0.511775, 0.545923
0.511674, 0.54587
0.51157, 0.545819
0.511467, 0.545766
0.511364, 0.545712
0.511261, 0.545649
0.511163, 0.545583
0.511063, 0.545516
0.51096, 0.545448
0.510855, 0.545377
0.510746, 0.5453
0.510632, 0.54523
0.51052, 0.545156
0.510418, 0.545082
0.510315, 0.545007
0.510212, 0.54493
0.510112, 0.544853
0.510009, 0.544777
0.509907, 0.544717
0.509798, 0.544665
0.50969, 0.544615
0.509581, 0.544556
0.509472, 0.544497
0.509362, 0.544442
0.50925, 0.544388
0.509145, 0.544315
0.509046, 0.544241
0.508948, 0.544161
0.50885, 0.54408
0.508753, 0.544
0.508654, 0.543922
0.508553, 0.543846
0.508455, 0.54377
0.508356, 0.543695
0.508259, 0.543619
0.508163, 0.543544
0.508065, 0.543469
0.507967, 0.543394
0.507868, 0.543319
0.507765, 0.543246
0.507661, 0.543178
0.507554, 0.543112
0.507445, 0.543048
0.507335, 0.542984
0.507225, 0.542914
0.507114, 0.542835
0.507003, 0.542756
0.506892, 0.542673
0.506781, 0.542589
0.50667, 0.542506
0.506559, 0.542422
0.506447, 0.542339
0.506334, 0.542255
0.506219, 0.542172
0.506103, 0.54209
0.505987, 0.542007
0.505868, 0.541925
0.505749, 0.541842
0.505633, 0.541758
0.505516, 0.541674
0.505398, 0.54159
0.50528, 0.541506
0.505161, 0.541422
0.505041, 0.541338
0.504921, 0.541253
0.504802, 0.541169
0.504683, 0.541085
0.504565, 0.541001
0.504445, 0.540916
0.504323, 0.540833
0.5042, 0.540751
0.504079, 0.540668
0.503954, 0.540586
0.503828, 0.540503
0.503702, 0.540421
0.503575, 0.540339
0.503448, 0.540257
0.503322, 0.540175
0.503196, 0.540093
0.503069, 0.540011
0.502943, 0.539928
0.502817, 0.539846
0.502692, 0.539764
0.502567, 0.539682
0.502442, 0.5396
0.502317, 0.53952
0.502193, 0.539443
0.502069, 0.539366
0.501945, 0.53929
0.501822, 0.539216
0.501698, 0.539142
0.501575, 0.539069
0.50145, 0.538991
0.501325, 0.538909
0.5012, 0.538827
0.501077, 0.538745
0.500954, 0.538664
0.50083, 0.538582
0.500707, 0.538501
0.500583, 0.53842
0.500459, 0.538338
0.500333, 0.538257
0.500207, 0.538176
0.500079, 0.538096
0.49995, 0.538015
0.49982, 0.537935
0.499689, 0.537853
0.499559, 0.537764
0.499429, 0.537665
0.499298, 0.537566
0.499166, 0.537467
0.499035, 0.537367
0.498904, 0.537265
0.498773, 0.537163
0.498643, 0.537061
0.498512, 0.536959
0.498381, 0.536857
0.498251, 0.536754
0.49812, 0.536652
0.49799, 0.536549
0.497859, 0.536446
0.497726, 0.536343
0.497594, 0.53624
0.497463, 0.536138
0.497339, 0.536035
0.497215, 0.535933
0.497091, 0.53583
0.496967, 0.535727
0.496843, 0.535624
0.496719, 0.53552
0.496598, 0.535417
0.496479, 0.535313
0.496361, 0.53521
0.496243, 0.535106
0.496125, 0.535002
0.496008, 0.534898
0.49589, 0.534794
0.495773, 0.53469
0.495656, 0.534586
0.49554, 0.534482
0.495423, 0.534377
0.495307, 0.534273
0.495191, 0.534168
0.495075, 0.534063
0.49496, 0.533958
0.494841, 0.533853
0.494709, 0.533748
0.494577, 0.533643
0.494444, 0.533538
0.494309, 0.533432
0.494175, 0.533327
0.49404, 0.533222
0.493905, 0.533117
0.49377, 0.533012
0.493635, 0.532906
0.4935, 0.532801
0.493365, 0.532695
0.49323, 0.53259
0.493095, 0.532484
0.49296, 0.532379
0.492825, 0.532273
0.49269, 0.532167
0.492555, 0.532062
0.49242, 0.531957
0.492285, 0.531852
0.492151, 0.531746
0.492018, 0.531641
0.491884, 0.531535
0.49175, 0.53143
0.491616, 0.531325
0.491483, 0.531219
0.491349, 0.531114
0.491215, 0.531009
0.491082, 0.530903
0.490949, 0.530798
0.490816, 0.530693
0.490683, 0.530587
0.490551, 0.530482
0.490418, 0.530377
0.490286, 0.530272
0.490154, 0.530167
0.490023, 0.530061
0.489893, 0.529956
0.489763, 0.529852
0.489633, 0.529748
0.489504, 0.529644
0.489372, 0.52954
0.48924, 0.529436
0.489109, 0.529332
0.488977, 0.529228
0.488846, 0.529125
0.488716, 0.529022
0.488586, 0.528918
0.488456, 0.528815
0.488326, 0.528712
0.488196, 0.528609
0.488067, 0.528507
0.487938, 0.528404
0.48781, 0.528302
0.487682, 0.528199
0.487555, 0.528097
0.487428, 0.527995
0.487302, 0.527894
0.487174, 0.527792
0.487046, 0.527691
0.486917, 0.52759
0.486788, 0.527489
0.48666, 0.527388
0.486529, 0.527288
0.486399, 0.527191
0.486268, 0.527096
0.486138, 0.527001
0.486008, 0.526907
0.485878, 0.526813
0.485747, 0.526719
0.485615, 0.526626
0.485482, 0.526533
0.48535, 0.52644
0.485217, 0.526348
0.485085, 0.526255
0.484953, 0.526164
0.484821, 0.526072
0.484689, 0.525981
0.484557, 0.52589
0.484425, 0.525799
0.484293, 0.525709
0.484162, 0.52562
0.48403, 0.52553
0.483899, 0.525441
0.483767, 0.525352
0.483636, 0.525264
0.483505, 0.525176
0.483374, 0.525088
0.483243, 0.525001
0.483113, 0.524916
0.482982, 0.52483
0.482852, 0.524745
0.482721, 0.524661
0.482591, 0.524577
0.482461, 0.524493
0.482331, 0.52441
0.482201, 0.524327
0.482069, 0.524245
0.481937, 0.524163
0.481805, 0.524081
0.481673, 0.524
0.481541, 0.52392
0.48141, 0.523839
0.481279, 0.52376
0.481148, 0.523681
0.481018, 0.523602
0.480887, 0.523524
0.480757, 0.523446
0.480627, 0.523368
0.480497, 0.523292
0.480368, 0.523215
0.480239, 0.523139
0.48011, 0.523064
0.479981, 0.522989
0.479852, 0.522915
0.479723, 0.522841
0.479595, 0.522768
0.479467, 0.522695
0.479339, 0.522622
0.479212, 0.52255
0.479084, 0.522479
0.478957, 0.522408
0.478831, 0.522338
0.478705, 0.522269
0.478579, 0.5222
0.478454, 0.522131
0.478329, 0.522063
0.478204, 0.521996
0.478084, 0.521929
0.477963, 0.521863
0.477844, 0.521797
0.477731, 0.521731
0.477619, 0.521667
0.477508, 0.521602
0.477397, 0.521539
0.477287, 0.521476
0.477177, 0.521413
0.477067, 0.521352
0.476958, 0.52129
0.47685, 0.52123
0.476742, 0.52117
0.476634, 0.52111
0.476527, 0.521052
0.476421, 0.520993
0.476315, 0.520936
0.47621, 0.520879
0.476105, 0.520823
0.476, 0.520767
0.475896, 0.520712
0.475793, 0.520658
0.475689, 0.520604
0.475587, 0.520551
0.475486, 0.5205
0.475385, 0.520448
0.475285, 0.520398
0.475185, 0.520349
0.475086, 0.5203
0.474987, 0.520252
0.474889, 0.520205
0.474792, 0.520159
0.474695, 0.520113
0.474598, 0.520067
0.474502, 0.520023
0.474407, 0.519979
0.474312, 0.519935
0.474218, 0.519892
0.474124, 0.51985
0.474031, 0.519809
0.473938, 0.519768
0.473847, 0.519728
0.473757, 0.519688
0.473667, 0.519649
0.473578, 0.519611
0.47349, 0.519573
0.473403, 0.519536
0.473316, 0.5195
0.473229, 0.519464
0.473143, 0.519429
0.473058, 0.519395
0.472974, 0.519361
0.47289, 0.519328
0.472807, 0.519296
0.472724, 0.519264
0.472644, 0.519233
0.472564, 0.519202
0.472484, 0.519173
0.472403, 0.519144
0.472322, 0.519115
0.472242, 0.519087
0.472162, 0.51906
0.472083, 0.519034
0.472005, 0.519008
